Extracted Verb POS*Thai_D,Translated Verb POS*Eng_D,Main Verb POS*Thai_D
เป็น,is,เป็น
เปิด,open,เปิด
รับรอง,guarantee,รับรอง
สอน,teach,สอน
เลิก,finish,เลิก
เป็น,is,เป็น
ตั้ง,set,ตั้ง
มี,have,มี
ตั้ง,set,ตั้ง
จัด,organized,จัด
ลึก,deep,ลึก
คิด,think,คิด
แบ่งแยก,separate,แบ่งแยก
เป็น,is,เป็น
ก่อตั้ง,established,ก่อตั้ง
เชี่ยวชาญ,expert,เชี่ยวชาญ
จัด,organized,จัด
บริการ,serve,บริการ
เทียบ,compare,เทียบ
วัด,measure,วัด
วิเคราะห์,analyze,วิเคราะห์
สอน,teach,สอน
พิมพ์,print,พิมพ์
จัดการ,manage,บริหาร
ให้,give,ให้
ปรึกษา,consult,ปรึกษา
ประกอบ,assemble,ประกอบ
เป็น,is,เป็น
ตั้ง,set,ตั้ง
ก่อตั้ง,established,ก่อตั้ง
เป็น,is,เป็น
เป็น,is,เป็น
เป็น,is,เป็น
มี,have,มี
ตั้ง,set,ตั้ง
อนุญาต,allow,อนุญาต
สอน,teach,สอน
เปิด,open,เปิด
ปวง,entire,ปวง
ศึกษา,study,ศึกษา
เป็น,is,เป็น
เรียน,learn,เรียน
เป็น,is,เป็น
เรียน,learn,เรียน
อยู่,live,อยู่
ผลิต,manufacture,ผลิต
มี,have,มี
ใช้,use,ใช้
เฉพาะ,specifically,เฉพาะ
ควบคู่,tandem,ควบคู่
รู้,know,รู้
ขยาย,expand,ขยาย
ศึกษา,study,ศึกษา
คือ,is,เป็น
เป็น,is,เป็น
ตั้ง,set,ตั้ง
ก่อตั้ง,established,ก่อตั้ง
เป็น,is,เป็น
เป็น,is,เป็น
เป็น,is,เป็น
มุ่งมั่น,strive,มุ่งมั่น
จัด,organized,จัด
รู้,know,รู้
มี,have,มี
เสริม,supplement,เสริม
ศึกษา,study,ศึกษา
ขนาน,parallel,ขนาน
เฉพาะ,specifically,เฉพาะ
รวม,together,รวม
สร้าง,build,สร้าง
โดดเด่น,outstanding,โดดเด่น
รู้,know,รู้
เป็น,is,เป็น
สำคัญ,important,สำคัญ
สร้าง,build,สร้าง
มูลค่า,value,มูลค่า
ศึกษา,study,ศึกษา
สอน,teach,สอน
คือ,is,เป็น
ประกอบ,assemble,ประกอบ
ปลอด,free,ปลอด
บริหาร,manage,บริหาร
นานา,numerous,นานา
ประกอบ,assemble,ประกอบ
บริหาร,manage,บริหาร
มี,have,มี
ขยาย,expand,ขยาย
สอน,teach,สอน
แปร,change,แปร
จัดการ,manage,บริหาร
ศึกษา,study,ศึกษา
เรียนรู้,learn,เรียน
สอน,teach,สอน
ตอบ,reply,ตอบ
พัฒนาประเทศ,develop the country,พัฒนาประเทศ
ผลิต,manufacture,ผลิต
มี,have,มี
ใช้,use,ใช้
เฉพาะ,specifically,เฉพาะ
ควบคู่,tandem,ควบคู่
รู้,know,รู้
ต่าง,different,ต่าง
สนับสนุน,support,สนับสนุน
เฉพาะ,specifically,เฉพาะ
วิจัย,research,วิจัย
พัฒนา,develop,พัฒนา
เป็น,is,เป็น
ตั้ง,set,ตั้ง
มูลนิธิพลังสร้างสรรค์,Creative Power Foundation,มูลนิธิพลังสร้างสรรค์
จัดตั้ง,establish,จัดตั้ง
สำคัญ,important,สำคัญ
มุ่งหวัง,look forward,มุ่งหวัง
ติด,stuck,ติด
นำ,lead,นำ
มี,have,มี
ศึกษา,study,ศึกษา
มี,have,มี
หน้า,page,หน้า
เป็น,is,เป็น
เข้มแข็ง,strong,เข้มแข็ง
วิจัย,research,วิจัย
สนับสนุน,support,สนับสนุน
วิจัย,research,วิจัย
เป็น,is,เป็น
ดำเนิน,conduct,ดำเนิน
สร้าง,build,สร้าง
ร่วมมือ,cooperate,ร่วมมือ
วิจัย,research,วิจัย
วิจัย,research,วิจัย
ย่อ,short,ย่อ
เป็น,is,เป็น
ตั้ง,set,ตั้ง
