Extracted Verb POS*Thai_N,Translated Verb POS*Eng_N,Main Verb POS*Thai_N
เป็น,be,เป็น
เปิด,open,เปิด
รับรอง,guarantee,รับรอง
สอน,teach,สอน
เลิกกิจการ,go out of business,เลิกกิจการ
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
มี,have,มี
ตั้งอยู่,locate,ตั้งอยู่
ตั้งขึ้น,set up,ตั้งขึ้น
จัด,organize,จัด
ลึก,deep,ลึก
แบ่งแยก,separate,แบ่งแยก
เป็น,be,เป็น
ส่งเสริม,promote,ส่งเสริม
เชี่ยวชาญ,expert,เชี่ยวชาญ
จัด,organize,จัด
ให้บริการ,serve,บริการ
วิเคราะห์,analyze,วิเคราะห์
สอน,teach,สอน
จัด,organize,จัด
จัดการ,manage,บริหาร
ให้คำปรึกษา,consult,ให้คำปรึกษา
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
ตั้งขึ้น,set up,ตั้งขึ้น
เป็น,be,เป็น
จาร,spy,จาร
เป็น,be,เป็น
เป็น,be,เป็น
มี,have,มี
ตั้งอยู่,locate,ตั้งอยู่
สอน,teach,สอน
เปิด,open,เปิด
ปวงชน,people,ปวงชน
มี,have,มี
เป็น,be,เป็น
ในเครือ,affiliate,ในเครือ
เป็น,be,เป็น
มี,have,มี
ใช้,use,ใช้
ควบคู่,tandem,ควบคู่
ขยาย,expand,ขยาย
คือ,be,เป็น
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
ตั้งขึ้น,set up,ตั้งขึ้น
เป็น,be,เป็น
เป็น,be,เป็น
เป็น,be,เป็น
จัด,organize,จัด
การสอน,teach,สอน
มี,have,มี
เสริม,supplement,เสริม
คู่ขนาน,parallel,คู่ขนาน
เฉพาะ,specifically,เฉพาะ
สร้าง,build,สร้าง
โดดเด่น,outstanding,โดดเด่น
ถือเป็น,consider a,ถือเป็น
สำคัญ,important,สำคัญ
สร้าง,build,สร้าง
มูลค่า,value,มูลค่า
สอน,teach,สอน
คือ,be,เป็น
ประกอบด้วย,together with,ประกอบด้วย
ประกอบด้วย,together with,ประกอบด้วย
ศึกษา,study,ศึกษา
ขยาย,expand,ขยาย
สอน,teach,สอน
แปรรูป,process,แปรรูป
จัดการ,manage,บริหาร
จัด,organize,จัด
ยังมี,still have,ยังมี
สอน,teach,สอน
ตอบ,reply,ตอบ
ผลิต,manufacture,ผลิต
มี,have,มี
ใช้,use,ใช้
ควบคู่,tandem,ควบคู่
สนับสนุน,support,สนับสนุน
ผลิต,manufacture,ผลิต
สนับสนุน,support,สนับสนุน
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
จันทร์,monday,จันทร์
ยุบ,collapse,ยุบ
ตั้งขึ้น,set up,ตั้งขึ้น
มูลนิธิ,foundation,มูลนิธิ
จัดตั้ง,establish,ก่อตั้ง
สำคัญ,important,สำคัญ
มุ่งหวัง,look forward,มุ่งหวัง
วิจัย,research,วิจัย
มี,have,มี
ยา,drug,ยา
ถาวร,permanent,ถาวร
จัด,organize,จัด
มี,have,มี
วิจัย,research,วิจัย
เป็น,be,เป็น
เสริมสร้าง,strengthen,เสริมสร้าง
สนับสนุน,support,สนับสนุน
เป็น,be,เป็น
ดำเนินงาน,operate,ดำเนินงาน
สร้าง,build,สร้าง
สร้าง,build,สร้าง
วิจัย,research,วิจัย
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
จัดตั้งขึ้น,establish,ก่อตั้ง
มี,have,มี
เป็น,be,เป็น
ประจำ,regular,ประจำ
นับ,count,นับ
เก่า,old,เก่า
เป็น,be,เป็น
เป็น,be,เป็น
เป็น,be,เป็น
จัดอันดับ,rank,จัดอันดับ
วิจัย,research,วิจัย
รับรอง,guarantee,รับรอง
ดีมาก,very good,ดีมาก
ประเมิน,estimate,ประเมิน
เป็นสมาชิก,become a member,เป็นสมาชิก
เป็น,be,เป็น
เป็นสมาชิก,become a member,เป็นสมาชิก
รับ,receive,รับ
ศึกษา,study,ศึกษา
พบ,meet,พบ
รวม,together,รวม
