Extracted Verb POS*Thai_D,Count
เป็น,187
มี,70
ศึกษา,61
ตั้ง,35
เรียน,32
ย่อ,27
ก่อตั้ง,22
สอน,22
รวม,20
จัด,19
สูง,15
วิจัย,14
คือ,13
ประกอบ,13
ใช้,12
ประจำ,11
จัดตั้ง,10
ครอบคลุม,10
ยก,8
เปิด,8
เปลี่ยน,8
ฝึกหัด,7
รับ,7
พัฒนา,7
สำคัญ,6
ประเมิน,6
สร้าง,6
อยู่,6
บริการ,6
นำ,6
ทำ,6
รู้,5
บริหาร,5
เดิม,5
ขยาย,5
ผลิต,5
เฉพาะ,5
ต่าง,4
เน้น,4
ติด,4
แยก,4
ร่วมมือ,4
ดำเนิน,4
ใหญ่,3
เกษตร,3
เรียก,3
เมือง,3
สังกัด,3
พร้อม,3
ได้แก่,3
ดูแล,3
ปฏิบัติ,3
พระราชทาน,3
จัดการ,3
ประกาศ,3
รับรอง,2
ทรง,2
ถือ,2
ต้องการ,2
เริ่ม,2
ดี,2
นานา,2
เรียนรู้,2
แวดล้อม,2
โดดเด่น,2
ควบคู่,2
ควบคุม,2
ทำนุบำรุง,2
บริจาค,2
เนื่อง,2
พิเศษ,2
ปฏิบัติการ,2
อาศัย,2
ประยุกต์,2
ปรากฏ,2
ปริญญา,2
ฝึกอบรม,2
พระมหากรุณาธิคุณ,2
สนับสนุน,2
สถาปนา,2
กลาง,2
พัก,2
กระจาย,2
