Extracted Verb POS*Thai_N,Count
เป็น,171
มี,56
จัด,31
ตั้งอยู่,28
ตั้งขึ้น,14
คือ,13
เปิด,13
สอน,13
รวม,11
ก่อตั้ง,10
ทำ,10
ครอบคลุม,10
วิจัย,10
ใช้,10
การสอน,10
จัดตั้ง,9
ศึกษา,9
เปลี่ยน,8
ได้รับ,8
ฝึกหัด,7
สร้าง,7
เน้น,7
ชั้นสูง,7
พัฒนา,6
ประกอบด้วย,5
สำคัญ,5
รับ,5
วัด,5
เดิม,5
ประจำ,5
ขยาย,5
บรม,5
อยู่,4
ยกฐานะ,4
ประกอบ,4
สนับสนุน,4
สูง,4
เป็นสมาชิก,4
ให้บริการ,4
พระราชทาน,4
สังกัด,3
ส่งเสริม,3
ย้าย,3
รวมถึง,3
ได้แก่,3
ผลิต,3
ถือเป็น,3
เรียก,3
ดูแล,3
เรียน,3
ดำเนินงาน,3
ดำเนิน,3
จัดอันดับ,3
จัดการ,3
ในสังกัด,3
บริการ,3
อันเป็น,2
เจ้าพระคุณ,2
เมือง,2
แยก,2
ใหม่,2
กระจาย,2
สถาปนา,2
รับรอง,2
ก่อ,2
ก่อให้เกิด,2
ควบคุม,2
ควบคู่,2
จบ,2
จัดตั้งขึ้น,2
ดีมาก,2
ตอบ,2
ตั้ง,2
ตามกฎหมาย,2
ทำนุบำรุง,2
บริหาร,2
ปฏิบัติหน้าที่,2
ประกาศ,2
ประเมิน,2
ปรากฏ,2
ฝึกอบรม,2
พระมหากรุณาธิคุณ,2
มาจาก,2
มีชื่อเสียง,2
ยังมี,2
ย่อ,2
รับบริจาค,2
พัก,2
