Page,Intro,Paragraph Count,Word Counts
มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย) (อังกฤษ: Webster University Thailand) เป็นมหาวิทยาลัยของสหรัฐอเมริกาที่มาเปิดสาขาในประเทศไทย โดยผ่านการรับรองจากสำนักงานคณะกรรมการการอุดมศึกษา เมื่อวันที่ 18 มิถุนายน พ.ศ. 2540 โดยเปิดสอนทั้งในระดับปริญญาตรี และบัณฑิตศึกษา และได้เลิกกิจการตั้งแต่วันที่ 31 ธันวาคม 2564,1,[54]
วิทยาลัยพุทธศาสนานานาชาติ,วิทยาลัยพุทธศาสนานานาชาติ (อังกฤษ: International Buddhist College) เป็นสถาบันอุดมศึกษาเอกชนในประเทศไทย ตั้งอยู่ที่อำเภอสะเดา จังหวัดสงขลา และมีศูนย์การศึกษาโคราชตั้งอยู่ที่อำเภอปักธงชัย จังหวัดนครราชสีมา ก่อตั้งขึ้นในประเทศไทยเมื่อปี พ.ศ. 2546 จัดการเรียนการสอนด้านพระพุทธศาสนาในเชิงลึกตามแนวคิดไม่แบ่งแยกนิกายในระบบนานาชาติ ทั้งในระดับปริญญาตรี ปริญญาโท และปริญญาเอก,1,[63]
สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สถาบันเทคโนโลยีไทย-ญี่ปุ่น (ส.ท.ญ.)  เป็นสถาบันอุดมศึกษาเอกชน ก่อตั้งโดยสมาคมส่งเสริมเทคโนโลยี (ไทย-ญี่ปุ่น) เมื่อปี พ.ศ. 2549 ซึ่งมีความเชี่ยวชาญในการจัดอบรมสัมมนาด้านเทคโนโลยีและการจัดการ การให้บริการสอบเทียบเครื่องมือวัดทางอุตสาหกรรม และวิเคราะห์สิ่งแวดล้อม การจัดสอนภาษาต่างประเทศ การจัดพิมพ์หนังสือและวารสารทางด้านเทคโนโลยีและการจัดการใหม่ๆ และให้คำปรึกษาแก่สถานประกอบการในภาคอุตสาหกรรม,1,[69]
วิทยาลัยเทคโนโลยีพนมวันท์,วิทยาลัยเทคโนโลยีพนมวันท์ (Phanomwan College of Technology) เป็นสถาบันอุดมศึกษาเอกชนในประเทศไทย ตั้งอยู่ที่ถนนมิตรภาพ ตำบลบ้านโพธิ์ อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา ก่อตั้งขึ้นเมื่อวันที่ 21 พฤศจิกายน พ.ศ. 2550 ปัจจุบันมี ดร.พิสิษฐ์ ศิริรักษ์ เป็นอธิการบดี และศาสตราจารยดร.บุญทัน ดอกไธสง เป็นนายกสภาวิทยาลัย,1,[55]
สถาบันการเรียนรู้เพื่อปวงชน,"สถาบันการเรียนรู้เพื่อปวงชน หรือ มหาวิทยาลัยชีวิต (อังกฤษ: Learning Institute For Everyone - LIFE) เป็นสถาบันอุดมศึกษาเอกชนในประเทศไทย มีสำนักงานสถาบันตั้งอยู่ที่ 13/2 หมู่ 1 ตำบลบางคนที อำเภอบางคนที จังหวัดสมุทรสงคราม ได้รับอนุญาตจากกระทรวงศึกษาธิการเมื่อวันที่ 31 สิงหาคม พ.ศ. 2553 เปิดสอนในระดับปริญญาตรี และระดับปริญญาโท ปัจจุบันสถาบันได้เปิดศูนย์การเรียนรู้เพื่อปวงชนในทุกภาคกว่า 30 จังหวัด มีนักศึกษาประมาณ  6,000 คน",1,[75]
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,"สถาบันเทคโนโลยีแห่งสุวรรณภูมิ (อังกฤษ: Suvarnabhumi Institute Of Technology)  เป็นสถาบันอุดมศึกษาแห่งแรกของโรงเรียนในเครือสารสาสน์ ซึ่งได้รับการยอมรับว่าเป็นโรงเรียนสองภาษาที่อยู่แถวหน้าของการผลิตนักเรียนที่มีศักยภาพด้านการใช้ภาษาต่างประเทศ โดยเฉพาะภาษาอังกฤษจนเป็นที่ประจักษ์ ควบคู่ไปกับความรู้ทางวิชาการสาขาต่างๆ มาตั้งแต่ปี พ.ศ. 2507 จนปัจจุบันได้ขยายโอกาสทางการศึกษาสู่ระดับอุดมศึกษา คือ “สถาบันเทคโนโลยีแห่งสุวรรณภูมิ” (SUVARNABHUMI INSTITUTE OF TECHNOLOGY -SVIT) เป็นสถาบันอุดมศึกษาเอกชนในประเทศไทย ตั้งอยู่ที่ ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ ก่อตั้งขึ้นเมื่อปีพ.ศ. 2558 นับเป็นสถาบันอุดมศึกษาเอกชนแห่งที่ 4 ของจังหวัดสมุทรปราการ ปัจจุบันมี ดร.สุทธิพงศ์ ยงค์กมล เป็นนายกสภาสถาบัน ดร.สยมพร ทองเนื้อดี เป็นอธิการบดี ด้วยปณิธานและความมุ่งมั่นในการจัดการเรียนการสอนภาษาอังกฤษและความรู้วิชาการสาขาต่างๆ อย่างมีคุณภาพเพื่อเสริมจุดแข็งให้กับนักศึกษาของ “สถาบันเทคโนโลยีแห่งสุวรรณภูมิ” คู่ขนานไปกับทักษะเฉพาะทางเทคโนโลยีและนวัตกรรม รวมทั้งทักษะทางวิชาชีพตามสาขาวิชาต่างๆ จนสามารถสร้างอัตลักษณ์ของสถานศึกษาให้เห็นชัดเจนว่าโดดเด่นในเรื่องความรู้ความสามารถทางวิชาการและวิชาชีพดังกล่าว ซึ่งถือเป็นรากฐานสำคัญของการสร้างคุณค่า และมูลค่าให้กับนักศึกษาในสถาบันเทคโนโลยีแห่งสุวรรณภูมิ     
ปัจจุบันสถาบันเทคโนโลยีแห่งสุวรรณภูมิเปิดสอนในหลายหลักสูตรดังนี้คือ กลุ่มหลักสูตรระดับปริญญาตรี ประกอบด้วย หลักสูตรวิศวกรรมศาสตรบัณฑิต (สาขาความปลอดภัย) หลักสูตรบริหารธุรกิจบัณฑิตและบริหารธุรกิจบัณฑิต (หลักสูตรนานาชาติ) หลักสูตรบัญชีบัณฑิตและรัฐประศาสนศาสตรบัณฑิต หลักสูตรศึกษาศาสตร์และศิลปศาสตร์บัณฑิต ส่วนหลักสูตรปริญญาโท ประกอบด้วย บริหารธุรกิจมหาบัณฑิต รัฐประศาสนศาสตรมหาบัณฑิต และศึกษาศาสตรมหาบัณฑิต นอกจากนี้ยังมีแผนที่จะขยายพื้นที่ไปยังวิทยาเขตพระราม 2  จังหวัดสมุทรสาคร เพื่อเปิดสอนสาขาต่างๆ เพิ่มเติม อาทิ สาขาอุตสาหกรรมการแปรรูปอาหาร สาขาวิศวกรรมโลจิสติกส์และการจัดการห่วงโซ่อุปทาน สาขาการศึกษาปฐมวัย สาขาหลักสูตรและการจัดการเรียนรู้ และสาขาดุริยางคศาสตร์เป็นต้น
  สถาบันเทคโนโลยีแห่งสุวรรณภูมิยังมีความมุ่งมั่นที่จะเปิดสอนหลักสูตรสาขาอื่นๆ เพิ่มเติมเพื่อตอบโจทย์การพัฒนาประเทศ ภูมิภาคและชุมชน  ด้วยการมุ่งเน้นผลิตบัณฑิตที่มีทั้งทักษะและศักยภาพ ด้านการใช้ภาษาสากลโดยเฉพาะภาษาอังกฤษเป็นพิเศษ ควบคู่ไปกับความรู้ทางวิชาการสาขาต่าง ๆ ทั้งยังมุ่งเน้นสนับสนุนให้คณาจารย์ผลิตผลงานทางวิชาการในสาขาต่างๆ โดยเฉพาะด้านการวิจัยและพัฒนาให้สามารถนำไปประยุกต์ใช้เพื่อสนับสนุนการพัฒนาประเทศทั้งในระดับชุมชน ภูมิภาค และระดับประเทศอีกด้วย",3,"[215, 97, 80]"
สถาบันวิทยสิริเมธี,"สถาบันวิทยสิริเมธี (อังกฤษ: Vidyasirimedhi Institute of Science and Technology: VISTEC) เป็น graduate research intensive university ตั้งอยู่ในพื้นที่วังจันทร์วัลเลย์ ตำบลป่ายุบใน อำเภอวังจันทร์ จังหวัดระยอง ประเทศไทย ก่อตั้งขึ้นเมื่อปี พ.ศ. 2558 โดยมูลนิธิพลังสร้างสรรค์นวัตกรรม (Power of Innovation Foundation: PIN) (ชื่อเดิม มูลนิธิสถาบันวิทยาศาสตร์และเทคโนโลยีระยอง) ตามโครงการจัดตั้งสถาบันอุดมศึกษาและโรงเรียนวิทยาศาสตร์ กลุ่ม ปตท. พื้นที่ภาคตะวันออก ด้วยวิสัยทัศน์สำคัญของ ดร.ไพรินทร์ ชูโชติถาวร ประธานมูลนิธิฯ และนายกสภาสถาบันฯ คนแรก ที่มุ่งหวังให้สถาบันฯ ติดอันดับ 1 ใน 50 ของมหาวิทยาลัยวิจัยชั้นนำระดับโลก
ปัจจุบัน VISTEC มีนายอานันท์ ปันยารชุน ดำรงตำแหน่ง ประธานที่ปรึกษานโยบายสถาบันวิทยสิริเมธี โดยมี ดร.ไพรินทร์ ชูโชติถาวร ดำรงตำแหน่ง นายกสภาสถาบันวิทยสิริเมธี และ ศาสตราจารย์ ดร.จำรัส ลิ้มตระกูล ดำรงตำแหน่ง อธิการบดีสถาบันวิทยสิริเมธีVISTEC มุ่งเน้นการจัดการศึกษาด้านวิทยาศาสตร์ วิศวกรรมศาสตร์ และเทคโนโลยี โดยมีศูนย์วิจัยวิทยาศาสตร์และเทคโนโลยีชั้นแนวหน้า (Frontier Research Center) ซึ่งเป็นศูนย์กลาง ในการเสริมสร้างความเข้มแข็งทางการวิจัยและให้การสนับสนุนด้านทุนการวิจัยแก่สถาบันฯ เป็นศูนย์รวมนักวิจัยที่มีความเชี่ยวชาญสูง ช่วยขับเคลื่อนการดำเนินงานด้านการศึกษา วิจัย การสร้างนวัตกรรม สร้างความร่วมมือทางด้านวิจัยกับสถาบันการศึกษา ภาคธุรกิจ ภาคอุตสาหกรรมและหน่วยงานด้านการวิจัยวิทยาศาสตร์และเทคโนโลยี",2,"[110, 110]"
จุฬาลงกรณ์มหาวิทยาลัย,"จุฬาลงกรณ์มหาวิทยาลัย (อังกฤษ: Chulalongkorn University; อักษรย่อ: จฬ. หรือ จุฬาฯ – CU or Chula) เป็นมหาวิทยาลัยและสถาบันอุดมศึกษาแห่งแรกของประเทศไทย ตั้งอยู่ในเขตปทุมวัน กรุงเทพมหานคร ถือกำเนิดจาก ""โรงเรียนสำหรับฝึกหัดวิชาข้าราชการฝ่ายพลเรือน"" ที่พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวโปรดเกล้าฯ ให้จัดตั้งขึ้นเมื่อวันที่ 30 มีนาคม พ.ศ. 2442 โดยมี ""พระเกี้ยว"" เป็นเครื่องหมายประจำโรงเรียน พ.ศ. 2459 (นับแบบเก่า) พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัวทรงประดิษฐานขึ้นเป็นมหาวิทยาลัย และพระราชทานนามว่า ""จุฬาลงกรณ์มหาวิทยาลัย""จุฬาลงกรณ์มหาวิทยาลัยเป็นมหาวิทยาลัยอันดับต้น ๆ ของประเทศไทย และได้รับเลือกให้เป็นมหาวิทยาลัยอันดับที่ 1 โดยผู้จัดอันดับหลายสำนัก หนึ่งในมหาวิทยาลัยวิจัยแห่งชาติตั้งแต่ปี พ.ศ. 2552 และได้รับการรับรองมาตรฐานการศึกษาในระดับดีมากจากสำนักงานรับรองมาตรฐานและประเมินคุณภาพการศึกษา (สมศ.) เป็นสมาชิกเครือข่ายมหาวิทยาลัยอาเซียน (AUN) และเป็นมหาวิทยาลัยที่เป็นสมาชิกของสมาคมมหาวิทยาลัยภาคพื้นแปซิฟิก (APRU) ในส่วนของการรับบุคคลเข้าศึกษาในสถาบันอุดมศึกษานั้นพบว่า ผู้สมัครสอบที่ทำคะแนนรวมสูงสุดในแต่ละปีส่วนใหญ่เลือกเข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัยปัจจุบัน จุฬาลงกรณ์มหาวิทยาลัยประกอบด้วย 19 คณะ 1 สำนักวิชา ครอบคลุมทั้งสาขาวิทยาศาสตร์และเทคโนโลยี วิทยาศาสตร์สุขภาพ สังคมศาสตร์ และมนุษยศาสตร์ และมีหน่วยงานประเภท วิทยาลัย 3 แห่ง บัณฑิตวิทยาลัย 1 แห่ง สถาบัน 14 แห่ง และสถาบันสมทบอีก 2 สถาบัน จำนวนหลักสูตรรวมทั้งสิ้น 506 หลักสูตร ประกอบด้วย ระดับปริญญาตรี 113 หลักสูตร ระดับบัณฑิตศึกษา 393 หลักสูตร ในจำนวนนี้เป็นหลักสูตรนานาชาติและหลักสูตรภาษาอังกฤษ 87 หลักสูตร",1,[256]
มหาวิทยาลัยเกษตรศาสตร์,"มหาวิทยาลัยเกษตรศาสตร์ (อังกฤษ: Kasetsart University; อักษรย่อ: มก. – KU) เป็นมหาวิทยาลัยของรัฐแห่งแรกของประเทศไทยที่เปิดสอนหลักสูตรทางด้านการเกษตร ก่อตั้งขึ้นเป็นลำดับที่ 3 ของประเทศ แรกเริ่มเป็น โรงเรียนช่างไหม ก่อตั้งขึ้นในปี พ.ศ. 2447 ซึ่งต่อมาเปลี่ยนชื่อเป็น โรงเรียนการเพาะปลูก หลังจากนั้นรวมเข้ากับโรงเรียนแผนที่และโรงเรียนกรมคลองเป็น โรงเรียนเกษตราธิการ และถูกยุบรวมเข้ากับโรงเรียนข้าราชการพลเรีอนฯ ในปี พ.ศ. 2456 ต่อมาได้รับการก่อตั้งอีกครั้งในปี พ.ศ. 2460 ในนาม โรงเรียนฝึกหัดครูประถมกสิกรรม ก่อนจะเปลี่ยนชื่อเป็น โรงเรียนมัธยมวิสามัญเกษตรกรรม และได้รับการยกฐานะเป็น วิทยาลัยเกษตรศาสตร์ ถัดจากนั้นมา รัฐบาลได้ปรับปรุงและรวมกิจการของวิทยาลัยเกษตรศาสตร์ที่เกษตรกลาง บางเขน กับโรงเรียนวนศาสตร์ จังหวัดแพร่ และสถาปนาเป็น มหาวิทยาลัยเกษตรศาสตร์ ในปี พ.ศ. 2486 ระยะแรก มหาวิทยาลัยเกษตรศาสตร์เปิดสอนเฉพาะด้านการเกษตรเท่านั้น แต่ต่อมาได้ขยายสาขาวิชาครอบคลุมทั้งเกษตรศาสตร์ วิทยาศาสตร์ วิทยาศาสตร์สุขภาพ วิศวกรรมศาสตร์ ศึกษาศาสตร์ สังคมศาสตร์ มนุษยศาสตร์ บริหารธุรกิจ และงานบริการ ปัจจุบัน มหาวิทยาลัยเกษตรศาสตร์อยู่ภายใต้บังคับพระราชบัญญัติมหาวิทยาลัยเกษตรศาสตร์ พ.ศ. 2558 ซึ่งมีสภาพเป็นมหาวิทยาลัยในกำกับของรัฐ
การประเมินของสำนักงานกองทุนสนับสนุนการวิจัย (สกว.) โดยจัดการประเมินคุณภาพผลงานวิจัยเชิงวิชาการด้านวิทยาศาสตร์และเทคโนโลยีของสถาบันอุดมศึกษาผลปรากฏว่าในการประเมินครั้งที่ 3 มหาวิทยาลัยเกษตรศาสตร์ได้รับการประเมินในระดับดีมากในสาขาวิชาการจัดการศัตรูพืช (Pest Management) จากภาควิชากีฏวิทยา คณะเกษตร อีกทั้งยังได้รับเลือกให้เป็น 1 ใน 9 มหาวิทยาลัยวิจัยแห่งชาติจากกระทรวงศึกษาธิการในปี พ.ศ. 2552 อีกด้วยปัจจุบัน มหาวิทยาลัยเกษตรศาสตร์มี 3 วิทยาเขตได้แก่ วิทยาเขตกำแพงแสน วิทยาเขตศรีราชา และวิทยาเขตเฉลิมพระเกียรติ จังหวัดสกลนคร ทั้งยังมีโครงการจัดตั้งวิทยาเขตสุพรรณบุรีอีกหนึ่งแห่งด้วย เปิดการสอน 29 คณะ 2 วิทยาลัย และสถาบันสมทบอีก 2 แห่ง มีหลักสูตร 583 หลักสูตร เป็นหลักสูตรนานาชาติ 42 หลักสูตร นอกจากนี้ ยังได้จัดตั้งสถาบันวิจัยขึ้นตามจังหวัดต่าง ๆ หลายแห่งเพื่อดำเนินการวิจัยในศาสตร์ต่าง ๆ",2,"[185, 135]"
มหาวิทยาลัยเชียงใหม่,มหาวิทยาลัยเชียงใหม่ (อังกฤษ: Chiang Mai University; อักษรย่อ: มช. – CMU) เป็นมหาวิทยาลัยของรัฐแห่งแรกที่จัดตั้งขึ้นในส่วนภูมิภาคและเป็นมหาวิทยาลัยของรัฐแห่งที่หกของประเทศไทย ก่อตั้งเมื่อวันที่ 22 มกราคม พ.ศ. 2507 ตั้งอยู่บริเวณเชิงดอยสุเทพ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ ปัจจุบันมหาวิทยาลัยเชียงใหม่มีสถานะเป็นมหาวิทยาลัยในกำกับของรัฐ ตามพระราชบัญญัติมหาวิทยาลัยเชียงใหม่ พ.ศ. 2551มหาวิทยาลัยเชียงใหม่ดำเนินการจัดการศึกษาและการวิจัยครอบคลุมทั้งสาขาวิทยาศาสตร์สุขภาพ วิทยาศาสตร์และเทคโนโลยี การเกษตร สังคมศาสตร์ และมนุษยศาสตร์ ใน 21 คณะ 3 วิทยาลัย 1 บัณฑิตวิทยาลัย และ 8 สถาบันโดยมีหลักสูตรที่เปิดสอนในแต่ละคณะจำนวน 340 หลักสูตร ในระดับปริญญาตรี มีการจำแนกหลักสูตรออกเป็น หลักสูตรภาคปกติ หลักสูตรภาคพิเศษ หลักสูตรนานาชาติ หลักสูตรต่อเนื่อง และหลักสูตรสาขาวิชาร่วม หลักสูตรระดับปริญญาโท แบ่งเป็น 2 แผน คือ แผน ก และแผน ข และหลักสูตรระดับปริญญาเอก แบ่งเป็น 2 แบบ คือ แบบ 1 เป็นการศึกษาที่เน้นการวิจัย ที่ก่อให้เกิดความรู้ใหม่ และแบบ 2 เป็นการศึกษาที่เน้นการวิจัย โดยมีการทำวิทยานิพนธ์ที่มีคุณภาพสูง และก่อให้เกิดความก้าวหน้าทางวิชาการ และวิชาชีพมหาวิทยาลัยเชียงใหม่ได้รับการคัดเลือกให้เป็น 1 ใน 9 มหาวิทยาลัยวิจัยแห่งชาติ จากกระทรวงศึกษาธิการ เป็น 1 ใน 7 สมาชิกเครือข่ายพันธมิตรมหาวิทยาลัยเพื่อการวิจัย Research University Network (RUN) เป็นสมาชิกเครือข่ายมหาวิทยาลัยอาเซียน ASEAN University Network (AUN) และเป็นสมาชิก Association of Southeast Asian Institutions of Higher Learning (ASAIHL),1,[237]
