Page,Intro,Paragraph Count,Word Counts
ท่าอากาศยานสุวรรณภูมิ,"ท่าอากาศยานสุวรรณภูมิ (IATA: BKK, ICAO: VTBS) เป็นสนามบินที่ตั้งอยู่ที่ถนนเทพรัตนและทางพิเศษบูรพาวิถี ในเขตตำบลหนองปรือและตำบลราชาเทวะ อำเภอบางพลี จังหวัดสมุทรปราการ ห่างจากใจกลางกรุงเทพมหานครประมาณ 25 กิโลเมตร เปิดให้บริการเชิงพาณิชย์เต็มรูปแบบอย่างเป็นทางการเมื่อวันที่ 28 กันยายน พ.ศ. 2549 ท่าอากาศยานสุวรรณภูมิ เป็นท่าอากาศยานที่ใหญ่ที่สุดในประเทศไทย และ เป็นท่าอากาศยานที่มีสายการบินจำนวนมากที่สุดในประเทศไทย รัฐบาลได้กำหนดให้ท่าอากาศยานนานาชาติสุวรรณภูมิเป็นท่าอากาศยานหลักของประเทศไทยแทนท่าอากาศยานดอนเมือง และตั้งเป้าให้เป็นศูนย์กลางการบินในทวีปเอเชีย อีกทั้งการเน้นพัฒนาคุณภาพการให้บริการของท่าอากาศยานให้ได้รับการจัดอันดับ 1 ใน 10 ท่าอากาศยานที่มีคุณภาพการบริการดีที่สุดในโลกในปี พ.ศ. 2553ปัจจุบันคุณ กิตติพงศ์ กิตติขจร เป็นผู้อำนวยการท่าอากาศยานสุวรรณภูมิ
ท่าอากาศยานสุวรรณภูมิมีหอควบคุมที่สูงเป็นอันดับ 1 ของโลก (132.2 เมตร) และอาคารผู้โดยสารเดี่ยวที่มีขนาดใหญ่เป็นอันดับ 3 ของโลก (563,000 ตารางเมตร) ปัจจุบันเป็นหนึ่งในท่าอากาศยานที่มีผู้โดยสารมากที่สุดแห่งหนึ่งของโลก โดยในปี พ.ศ. 2562 มีผู้โดยสารมากเป็นอันดับที่ 19 ของโลก 65,421,844 ราย ในปีเดียวกันท่าอากาศยานสุวรรณภูมิมีจำนวนสินค้าทางอากาศยานมากเป็นอันดับที่ 21 ของโลก จากการจัด อันดับท่าอากาศยานที่มีความหนาแน่นสูงสุดในกรณีจำนวนขนส่งสินค้า โดยปริมาณขนส่งอยู่ที่ 1,326,914 ตันต่อมาใน ปี พ.ศ. 2564 ท่าอากาศยานสุวรรณภูมิยังมีพื้นที่เชิงตารางกิโลเมตรมากที่สุดเป็นอันดับที่ 10 ของท่าอากาศยานทั่วโลกโดยพื้นที่รวมของท่าอากาศยานสุวรรณภูมิคือ 32.4 ตารางกิโลเมตร (32.4 km2)
อย่างไรก็ตามจำนวนเที่ยวบินช่วงที่การควบคุมจราจรทางอากาศหนาแน่นมากที่สุดตามรายงานของ บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) ได้แก่ เดือนมกราคม พ.ศ. 2562 ท่าอากาศยานสุวรรณภูมิมีเที่ยวบินระหว่างประเทศมากถึง 25,881 เที่ยวบิน เที่ยวบินภายในประเทศ 8,106 รวม 33,987 เที่ยวบินซึ่งเป็นสถิติเที่ยวบินระหว่างประเทศมากที่สุดตั้งแต่ดำเนินกิจการ รองลงมาคือ เดือนมีนาคม พ.ศ. 2562 ท่าอากาศยานสุวรรณภูมิมีเที่ยวบินระหว่างประเทศมากถึง 825,400 เที่ยวบิน เที่ยวบินภายในประเทศ 285,660 รวม 33,289 เที่ยวบิน ตลอดปี พ.ศ. 2562 มีจำนวนเที่ยวบินรวมทั้งสิ้น 980,967 เที่ยวบิน
ท่าอากาศยานสุวรรณภูมิให้บริการสายการบินที่ทำการบินแบบประจำในช่วง 27 ตุลาคม พ.ศ. 2562 ถึง 31 ธันวาคม พ.ศ. 2562 สูงสุด 104 สายการบิน ขนส่งอากาศยาน 11 สายการบิน และสายการบินเช่าเหมาลำ  1 สายการบิน สายการบินเช่าเหมาลำภายในประเทศทำการบินไปสนามบินเกาะไม้ซี้ 1 สายการบิน รวม 117 สายการบิน ซึ่งถือว่าบริการตามจำนวนสายการบินมากที่สุดแห่งหนึ่งของโลก (สามารถรองรับเที่ยวบิน 76 เที่ยวต่อชั่วโมงและผู้โดยสาร 45 ล้านคนต่อปี) และศูนย์กลางการขนส่งทางอากาศ (สามารถรองรับสินค้าได้ 3 ล้านตันต่อปี)  นอกจากนี้ยังมีทางหลวงพิเศษที่ทันสมัยซึ่งเชื่อมต่อระหว่างท่าอากาศยาน กรุงเทพมหานคร และนิคมอุตสาหกรรมอิสเทิร์น ซีบอร์ด สายการบินหลายแห่ง ได้แก่ การบินไทย การบินไทยสมายล์ บางกอกแอร์เวย์ และไทยเวียดเจ็ทแอร์ ได้เลือกท่าอากาศยานสุวรรณภูมิเป็นศูนย์กลางการบิน",4,"[141, 131, 82, 134]"
ท่าอากาศยานดอนเมือง,"ท่าอากาศยานดอนเมือง (ชื่อเดิมคือ ท่าอากาศยานกรุงเทพ) หรือ สนามบินดอนเมือง เป็นท่าอากาศยานในประเทศไทย ที่ตั้งอยู่บนถนนวิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง ช่วงกิโลเมตรที่ 24 ทางตอนเหนือของกรุงเทพมหานคร เป็นจุดศูนย์กลางทางการบินในเอเชียตะวันออกเฉียงใต้ ที่สามารถเชื่อมโยงการคมนาคมทางอากาศไปยังจุดต่าง ๆ ของโลกได้อย่างเหมาะสม ไม่ว่าจะเป็นการบินภายในทวีปเอเชียด้วยกัน หรือระหว่างทวีปยุโรป ทวีปอเมริกา ทวีปออสเตรเลีย ซึ่งสามารถใช้เป็นจุดแวะลงและเชื่อมต่อในการเดินทางของผู้โดยสารตลอดจนพัสดุไปรษณียภัณฑ์ไปยังจุดอื่น ๆ ได้เป็นอย่างดี 
ท่าอากาศยานดอนเมืองเปิดดำเนินการครั้งแรกเมื่อวันที่ 27 มีนาคม พ.ศ. 2457 โดยปิดตัวลงวันที่ 28 กันยายน พ.ศ. 2549 พร้อมกับการเปิดใช้งานท่าอากาศยานสุวรรณภูมิ โดยท่าอากาศยานดอนเมืองถูกเปลี่ยนเป็นสถานที่ซ่อมเครื่องบิน ฝึกบิน และสำหรับจอดเครื่องบินส่วนตัวของบุคคลสำคัญ อย่างไรก็ตาม ตั้งแต่วันที่ 25 มีนาคม พ.ศ. 2550 เป็นต้นมา ท่าอากาศยานดอนเมืองได้กลับมาให้บริการเที่ยวบินแบบประจำ (Scheduled flight) ในประเทศอีกครั้ง หลังจากพบปัญหาหลายอย่างที่ท่าอากาศยานสุวรรณภูม และเมื่อวันที่ 1 ตุลาคม พ.ศ. 2555 ท่าอากาศยานดอนเมืองได้กลับมาเปิดให้บริการในฐานะท่าอากาศยานนานาชาติแห่งที่ 2 อีกครั้ง เนื่องด้วยรัฐบาลยิ่งลักษณ์ ชินวัตร ต้องการสานต่อจากนโยบายของรัฐบาลอภิสิทธิ์ เวชชาชีวะ ที่ต้องการลดความแออัดของท่าอากาศยานสุวรรณภูมิลง ด้วยเหตุนี้ทำให้ท่าอากาศยานนานาชาติดอนเมือง เป็นท่าอากาศยานที่เก่าแก่ที่สุดแห่งหนึ่งของโลก และเก่าแก่ที่สุดในเอเชียที่ยังคงดำเนินการอยู่ปัจจุบัน ท่าอากาศยานดอนเมืองรับเที่ยวบินจากประเทศกัมพูชา ประเทศมาเลเซีย ประเทศพม่า ประเทศเวียดนาม ประเทศไต้หวัน ประเทศอินโดนีเซีย ประเทศอินเดีย ประเทศฟิลิปปินส์ ประเทศเนปาล ประเทศศรีลังกา",2,"[92, 166]"
ท่าอากาศยานนานาชาติเชียงใหม่,"ท่าอากาศยานนานาชาติเชียงใหม่ หรือ สนามบินเชียงใหม่ (อังกฤษ: Chiang Mai International Airport) (IATA: CNX , ICAO: VTCC) ตั้งอยู่เลขที่ 60 ถนนมหิดล ตำบลสุเทพ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ ทางตะวันตกเฉียงใต้ ห่างจากตัวเมืองเชียงใหม่ 4 กิโลเมตร เป็นท่าอากาศยานนานาชาติ 1 ในจำนวนทั้งหมด 6 แห่ง บริหารงานโดยบริษัท ท่าอากาศยานไทย จำกัด (มหาชน) โดยมีผู้อำนวยการท่าอากาศยานเชียงใหม่ดูแล เป็นท่าอากาศยานที่สำคัญ เป็นศูนย์กลางทางการบินของภาคเหนือ โดยมีเที่ยวบินเข้าออกหนาแน่นเป็นลำดับสี่ รองจากท่าอากาศยานสุวรรณภูมิ ท่าอากาศยานดอนเมือง และท่าอากาศยานภูเก็ต",1,[93]
ท่าอากาศยานนานาชาติแม่ฟ้าหลวง เชียงราย,"ท่าอากาศยานนานาชาติแม่ฟ้าหลวง เชียงราย หรือ สนามบินเชียงราย  (อังกฤษ: Mae Fah Luang – Chiang Rai International Airport) (IATA: CEI, ICAO: VTCT) ตั้งอยู่เลขที่ 404 หมู่ 10 ตำบลบ้านดู่ อำเภอเมืองเชียงราย จังหวัดเชียงราย ห่างจากถนนพหลโยธิน (เชียงราย - แม่จัน) ทางทิศตะวันออกประมาณ 2.6 กิโลเมตร และห่างจากตัวเมืองเชียงราย ประมาณ 8 กิโลเมตร มีพื้นที่ทั้งหมด ประมาณ 3,042 ไร่",1,[69]
ท่าอากาศยานนานาชาติหาดใหญ่,"ท่าอากาศยานนานาชาติหาดใหญ่ หรือ สนามบินหาดใหญ่ (IATA: HDY, ICAO: VTSS) ตั้งอยู่เลขที่ 99 หมู่ 3 ถนนสนามบิน ตำบลคลองหลา อำเภอคลองหอยโข่ง จังหวัดสงขลา 90115 บริหารงานโดย บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) โดยมีผู้อำนวยการท่าอากาศยานหาดใหญ่ดูแล เป็นท่าอากาศยานที่สำคัญ เนื่องจากเป็นประตูสำหรับชาวมุสลิมที่ต้องการไปแสวงบุญที่นครมักกะฮ์  ประเทศซาอุดีอาระเบีย โดย Saudi Arabian Airlines และ การบินไทย ท่าอากาศยานหาดใหญ่มีเที่ยวบินมากเป็นอันดับ 5 ของประเทศ รองจาก ท่าอากาศยานสุวรรณภูมิ  ท่าอากาศยานดอนเมือง ท่าอากาศยานภูเก็ต ท่าอากาศยานเชียงใหม่  ตามลำดับ ปัจจุบันมีผู้โดยสารประมาณ  4,869,113 คน โดยเส้นทางในประเทศและต่างประเทศ เที่ยวบิน 9,203 เที่ยวบินและสินค้าประมาณ 12,965 ตันใช้บริการท่าอากาศยานแห่งนี้ ทั้งนี้ ท่าอากาศยานนานาชาติหาดใหญ่ มีความสามารถในการรองรับเที่ยวบินได้ 48 เที่ยวบิน/ชม. รองรับผู้โดยสารได้ปีละ 3,000,000 คน และรองรับสินค้าได้ ปีละ 41,800 ตัน รองรับเครื่องบินขนาดใหญ่ได้สูงสุด Boeing 747-400",1,[157]
ท่าอากาศยานนานาชาติกระบี่,"ท่าอากาศยานนานาชาติกระบี่ หรือ สนามบินกระบี่  (อังกฤษ: Krabi International Airport) (IATA: KBV, ICAO: VTSG) ตั้งอยู่ริมถนนเพชรเกษม ตำบลเหนือคลอง อำเภอเหนือคลอง จังหวัดกระบี่ ตั้งอยู่ระหว่างอำเภอเมืองกระบี่กับอำเภอเหนือคลอง ไปทางจังหวัดตรัง เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม",1,[52]
ท่าอากาศยานนานาชาติขอนแก่น,"ท่าอากาศยานนานาชาติขอนแก่น หรือ สนามบินขอนแก่น (IATA: KKC, ICAO: VTUK) ตั้งอยู่ในตำบลบ้านเป็ด อำเภอเมืองขอนแก่น จังหวัดขอนแก่น ห่างจากตัวเมืองไปทางทิศตะวันตกประมาณ 8 กิโลเมตร ห่างจากทางหลวงแผ่นดินหมายเลข 12 (ขอนแก่น – เลย) 2 กิโลเมตร มีพื้นที่ 1,113 ไร่ เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศเป็นท่าอากาศยานศุลกากรเมื่อวันที่ 1 กันยายน พ.ศ. 2534 โดยอาคารผู้โดยสารปัจจุบันรองรับได้ 1,000 คนต่อชั่วโมง หรือ 2.4 ล้านคนต่อปีปัจจุบันสายการบินไทยแอร์เอเชียได้เลือกท่าอากาศยานขอนแก่นเป็นฮับการบินของภาคอีสาน และทางท่าอากาศยานขอนแก่นได้เร่งขยายท่าอากาศยาน ทั้งอาคารผู้โดยสาร รันเวย์ และส่วนต่าง ๆ เพื่อรองรับการเป็นท่าอากาศยานนานาชาติ",1,[121]
ท่าอากาศยานตรัง,"ท่าอากาศยานนานาชาติตรัง (IATA: TST, ICAO: VTST) ตั้งอยู่ที่ ถนนตรัง-ปะเหลียน ตำบลโคกหล่อ อำเภอเมืองตรัง จังหวัดตรัง ห่างจากตัวเมืองไปทางใต้ประมาณ 7 กิโลเมตร เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศเป็นท่าอากาศยานศุลกากรเมื่อวันที่ 5 มีนาคม พ.ศ. 2542 อาคารผู้โดยสารปัจจุบันเป็นอาคาร 2 ชั้นมีพื้นที่ใช้สอย 3,000 ตารางเมตร สามารถรองรับผู้โดยสารได้ 300 คนต่อชั่วโมง และมีสายการบินให้บริการอยู่ 3 สายการบิน คือ นกแอร์ ไทยแอร์เอเชีย และ ไทยไลอ้อนแอร์",1,[91]
ท่าอากาศยานนานาชาติแม่สอด,"ท่าอากาศยานนานาชาติแม่สอด หรือ สนามบินแม่สอด (IATA: MAQ, ICAO: VTPM) ตั้งอยู่ที่ตำบลท่าสายลวด อำเภอแม่สอด จังหวัดตาก โดยตั้งอยู่ห่างจากอำเภอแม่สอดประมาณ 3 กิโลเมตร และห่างจากอำเภอเมืองตากประมาณ 87 กิโลเมตร เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศเป็นท่าอากาศยานศุลกากรเมื่อวันที่ 28 ธันวาคม พ.ศ. 2547 และเป็นท่าอากาศยานที่มีประวัติยาวนานตั้งแต่สมัยหลังสงครามโลกครั้งที่ 1 แต่ได้มีการสร้างอาคารผู้โดยสารหลังใหม่ มีพื้นที่ทั้งหมด 12,000 ตารางเมตร สามารถรองรับผู้โดยสารได้ 600 คนต่อชั่วโมงและขยายทางวิ่งเป็น 2,100 เมตรในปีพ.ศ. 2556-2563",1,[112]
ท่าอากาศยานนครราชสีมา,"ท่าอากาศยานนครราชสีมา หรือ สนามบินหนองเต็ง (IATA: NAK, ICAO: VTUQ) ตั้งอยู่ในเขตป่าสงวนแห่งชาติหนองเต็ง-จักราช ตำบลท่าช้าง อำเภอเฉลิมพระเกียรติ จังหวัดนครราชสีมา ตั้งอยู่ห่างจากตัวเมืองนครราชสีมาไปทางทิศตะวันออกระยะทางประมาณ 26 กิโลเมตร มีพื้นที่ทั้งหมด 4,625 ไร่ เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศเป็นท่าอากาศยานศุลกากรเมื่อวันที่ 5 มีนาคม พ.ศ. 2542 โดยสร้างขึ้นเพื่อใช้แทนท่าอากาศยานกองบิน 1 นครราชสีมาของกองทัพอากาศซึ่งอยู่ในเขตทหาร
ท่าอากาศยานนครราชสีมามีสิ่งอำนวยความสะดวกพอรองรับอากาศยานประเภทโบอิง 737 ได้ และมีอาคารผู้โดยสารขนาด 5,500 ตารางเมตร แต่เนื่องจากท่าอากาศยานนครราชสีมาตั้งอยู่ห่างจากตัวเมือง และไม่มีบริการรถสาธารณะในปัจจุบัน จึงทำให้สายการบินต่าง ๆ ปิดเส้นทางบินอย่างรวดเร็ว ปัจจุบันเกิดแผนปรับปรุงหลายแบบ เช่นการสร้างศูนย์ซ่อมอากาศยาน หรือการตั้งสายการบินของตนเอง",2,"[84, 62]"
