Intro,Subject,Verb,Objects
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),มหาวิทยาลัย เว็บ สเตอร์   ( ประเทศไทย )   ( อังกฤษ :   Webster University   Thailand )  ,เป็น,"['มหาวิทยาลัย', 'ของ', 'สหรัฐอเมริกา']"
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),มหาวิทยาลัย เว็บ สเตอร์   ( ประเทศไทย )   ( อังกฤษ :   Webster University   Thailand )  ,มา,
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),มหาวิทยาลัย เว็บ สเตอร์   ( ประเทศไทย )   ( อังกฤษ :   Webster University   Thailand )  ,เปิด,"['สาขา', 'ใน', 'ประเทศไทย']"
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),โดย,ผ่าน,
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),โดย,รับรอง,"['จาก', 'สำนักงานคณะกรรมการการอุดมศึกษา']"
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),เมื่อ วัน ที่   18   มิถุนายน   พ.ศ.   2540   โดย,เปิด,
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),เมื่อ วัน ที่   18   มิถุนายน   พ.ศ.   2540   โดย,สอน,"['ทั้ง', 'ใน', 'ระดับ', 'ปริญญา', 'ตรี', 'และ', 'บัณฑิต']"
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),เมื่อ วัน ที่   18   มิถุนายน   พ.ศ.   2540   โดย,ศึกษา,
Intro 1 - มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),และ ได้,เลิก,"['กิจการ', 'ตั้งแต่', 'วัน', '31', 'ธันวาคม', '2564']"
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,วิทยาลัยพุทธศาสนา นานา ชาติ   ( อังกฤษ :   International   Buddhist   College )  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ใน', 'ประเทศไทย']"
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,วิทยาลัยพุทธศาสนา นานา ชาติ   ( อังกฤษ :   International   Buddhist   College )  ,ตั้ง,"['ที่', 'อำเภอสะเดา', 'จังหวัดสงขลา']"
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,และ,มี,['ศูนย์การศึกษาโคราช']
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,และ,ตั้ง,"['ที่', 'อำเภอปักธงชัย', 'จังหวัดนครราชสีมา', 'ก่อตั้ง', 'ใน', 'ประเทศไทย', 'ปี', 'พ.ศ.', '2546']"
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,และ,จัด,"['การเรียนการสอน', 'ด้าน', 'พระพุทธศาสนา', 'ใน', 'เชิง']"
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,และ,ลึก,"['ตาม', 'แนว']"
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,และ,คิด,['ไม่']
Intro 2 - วิทยาลัยพุทธศาสนานานาชาติ,และ,แบ่งแยก,"['นิกาย', 'ใน', 'ระบบ', 'ชาติ', 'ทั้ง', 'ใน', 'ระดับ', 'ปริญญา', 'ตรี', 'ปริญญา', 'โท', 'และ', 'ปริญญา', 'เอก']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สถาบันเทคโนโลยี ไทย - ญี่ปุ่น   ( ส.ท.ญ. )    ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สถาบันเทคโนโลยี ไทย - ญี่ปุ่น   ( ส.ท.ญ. )    ,ก่อตั้ง,"['โดย', 'สมาคมส่งเสริม', 'เทคโนโลยี', 'ไทย', 'ญี่ปุ่น', 'ปี', 'พ.ศ.', '2549']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สถาบันเทคโนโลยี ไทย - ญี่ปุ่น   ( ส.ท.ญ. )    ,มี,
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สถาบันเทคโนโลยี ไทย - ญี่ปุ่น   ( ส.ท.ญ. )    ,เชี่ยวชาญ,['ใน']
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สถาบันเทคโนโลยี ไทย - ญี่ปุ่น   ( ส.ท.ญ. )    ,จัด,"['อบรม', 'สัมมนา', 'ด้าน', 'เทคโนโลยี', 'และ']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,สถาบันเทคโนโลยี ไทย - ญี่ปุ่น   ( ส.ท.ญ. )    ,จัดการ,
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,ให้,
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,บริการ,['สอบ']
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,เทียบ,['เครื่องมือ']
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,วัด,"['ทาง', 'อุตสาหกรรม', 'และ']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,วิเคราะห์,['สิ่ง']
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,แวดล้อม,
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,จัด,
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,สอน,"['ภาษา', 'ต่าง', 'ประเทศ']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,จัด,
