Subject,Verb,Objects
มหาวิทยาลัย เว็บสเตอร์  ( ประเทศไทย )   ( อังกฤษ :   Webster  University   Thailand )  ,เป็น,"['มหาวิทยาลัย', 'สหรัฐอเมริกา']"
มหาวิทยาลัย เว็บสเตอร์  ( ประเทศไทย )   ( อังกฤษ :   Webster  University   Thailand )  ,เปิด,"['สาขา', 'ประเทศไทย']"
โดย,รับรอง,['สำนักงานคณะกรรมการการอุดมศึกษา']
เมื่อ วัน ที่   18   มิถุนายน   พ.ศ.   2540   โดย,สอน,"['ระดับ', 'ปริญญา', 'ตรี', 'บัณฑิต']"
และ ได้,เลิก,"['กิจการ', 'วัน', 'ธันวาคม', '2564']"
วิทยาลัยพุทธศาสนานานาชาติ   ( อังกฤษ :   International Buddhist   College )  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ประเทศไทย']"
วิทยาลัยพุทธศาสนานานาชาติ   ( อังกฤษ :   International Buddhist   College )  ,ตั้ง,"['อำเภอสะเดา', 'จังหวัดสงขลา']"
และ,มี,['ศูนย์']
และ,ตั้ง,"['อำเภอปักธงชัย', 'จังหวัดนครราชสีมา', 'ประเทศไทย', 'ปี', 'พ.ศ.', '2546']"
และ,จัด,"['ด้าน', 'พระพุทธศาสนา', 'เชิง']"
และ,ลึก,['แนว']
และ,คิด,['ไม่']
และ,แบ่งแยก,"['นิกาย', 'ระบบ', 'ชาติ', 'ระดับ', 'ปริญญา', 'ตรี', 'ปริญญา', 'โท', 'ปริญญา', 'เอก']"
สถาบันเทคโนโลยีไทย-ญี่ปุ่น   ( ส.ท.ญ. )    ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน']"
สถาบันเทคโนโลยีไทย-ญี่ปุ่น   ( ส.ท.ญ. )    ,ก่อตั้ง,"['สมาคมส่งเสริมเทคโนโลยี', 'ไทย', 'ญี่ปุ่น', 'ปี', 'พ.ศ.', '2549']"
